operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Villa Luzuriaga|,,,,,,,45.0,,,,2.0,,http://villa-luzuriaga.properati.com.ar/saux_venta_departamentos_la-matanza
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Pilar|,"-34.448043,-58.745871",230000.0,USD,3487352.0,230000.0,100.0,100.0,2300.0,2300.0,2.0,,,http://pilar.properati.com.ar/112sx_venta_departamentos_pilar_oppel-inmuebles_d63
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|,"-34.7352968,-58.2458524",80000.0,USD,1212992.0,80000.0,,,,,,,,http://quilmes-bs-as-g-b-a-zona-sur.properati.com.ar/y27g_venta_departamentos_quilmes_placard_fer-propiedades
sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6103271,-58.4260507",90000.0,USD,1364616.0,90000.0,63.0,38.0,1428.571428571429,2368.4210526315787,,1.0,,http://almagro.properati.com.ar/odc4_venta_departamentos_almagro_rawson-de-dellepiane-elvira-av-_200
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5624895863,-58.4592432485",395000.0,USD,5989148.0,395000.0,210.0,126.0,1880.952380952381,3134.9206349206347,,4.0,2900,http://belgrano.properati.com.ar/ysjn_venta_departamentos_belgrano_baulera_suite_jardin_patio_toilette_luminoso_placard_belga-inmobiliaria
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|Moreno|,"-34.64666367,-58.79487991",68000.0,USD,1031043.2,68000.0,,,,,,,,http://moreno.properati.com.ar/vaey_venta_departamentos_moreno
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,"-34.431122031,-58.8391858457",78000.0,USD,1182667.2,78000.0,79.0,51.0,987.3417721518988,1529.4117647058824,,,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/zuew_venta_departamentos_pilar_gimnasio_lavadero_parrilla_piscina_sum_terraza_luminoso_garage_estrenar_durban-keiller-asesoramiento-inmobiliario
sell,store,|Argentina|Capital Federal|Villa Crespo|,"-34.5948790782,-58.4398432243",270000.0,USD,4093848.0,270000.0,100.0,100.0,2700.0,2700.0,,,,http://villa-crespo.properati.com.ar/npsn_venta_local_villa-crespo_serrano_700
sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|San Miguel|,"-34.5542457,-58.7134252",120000.0,USD,1819488.0,120000.0,,,,,,,,http://san-miguel-bs-as-g-b-a-zona-norte.properati.com.ar/eisj_venta_ph_san-miguel
sell,apartment,|Argentina|Capital Federal|Tribunales|,"-34.6031545441,-58.3932320736",145000.0,USD,2198548.0,145000.0,72.0,72.0,2013.888888888889,2013.888888888889,,,,http://tribunales.properati.com.ar/x9m9_venta_departamentos_tribunales
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,"-34.652221803,-58.6382978804",120000.0,USD,1819488.0,120000.0,75.0,70.0,1600.0,1714.2857142857142,,4.0,,http://castelar-moron.properati.com.ar/yneh_venta_departamentos_castelar_balcon_luminoso_dependencias_placard_butiler-propiedades_3sx
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Berazategui|,"-34.821907,-58.180861",450000.0,USD,6823080.0,450000.0,270.0,270.0,1666.6666666666667,1666.6666666666667,,,,http://berazategui-bs-as-g-b-a-zona-sur.properati.com.ar/vfmd_venta_casa_berazategui_calle-63
sell,house,|Argentina|Capital Federal|Parque Centenario|,"-34.6039475566,-58.4421587249",410000.0,USD,6216584.0,410000.0,250.0,225.0,1640.0,1822.2222222222224,,,,http://parque-centenario.properati.com.ar/12lvq_venta_casa_parque-centenario_balcon_lavadero_parrilla_patio_terraza_dependencias_garage_placard_aire-acondicionado_subte-linea-b_inmobiliaria-calot
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5159689,-58.5047153",240000.0,USD,3638976.0,240000.0,103.0,103.0,2330.097087378641,2330.097087378641,,3.0,,http://olivos.properati.com.ar/y142_venta_casa_olivos-golf-club_jardin_toilette_pastori-propiedades
sell,PH,|Argentina|Bs.As. G.B.A. Zona Sur|Quilmes|Quilmes|,"-34.7183193,-58.2460594",60000.0,USD,909744.0,60000.0,38.0,38.0,1578.9473684210527,1578.9473684210527,,1.0,,http://quilmes.properati.com.ar/pidn_venta_departamentos_quilmes
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Presidente Perón|,"-34.9045213,-58.357402",310000.0,USD,4700344.0,310000.0,2300.0,300.0,134.7826086956522,1033.3333333333333,,,,http://presidente-peron.properati.com.ar/hv6m_venta_casa_presidente-peron
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5626966,-58.445619",560000.0,USD,8490944.0,560000.0,240.0,230.0,2333.333333333333,2434.782608695652,,4.0,5000,http://belgrano.properati.com.ar/ule3_alquiler_departamentos_belgrano
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.4283419,-58.5885278",230000.0,USD,3487352.0,230000.0,41.0,150.0,5609.756097560976,1533.3333333333333,,,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/nkc4_venta_casa_tigre_billoch-j-m-_0
sell,apartment,|Argentina|Capital Federal|Balvanera|,"-34.6101223,-58.4059406",130000.0,USD,1971112.0,130000.0,73.0,73.0,1780.8219178082193,1780.8219178082193,,3.0,,http://balvanera.properati.com.ar/12tws_venta_departamentos_balvanera_luminoso_lujoso_subte-linea-b_subte-linea-a_subte-linea-h_zuker-propiedades_dkh
sell,apartment,|Argentina|Capital Federal|Barrio Norte|,"-34.5835376,-58.4053183",149000.0,USD,2259197.6,149000.0,53.0,50.0,2811.3207547169814,2980.0,,,,http://barrio-norte.properati.com.ar/11a34_venta_departamentos_barrio-norte_zarlenga-inmobiliaria_bcl
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.648433,-58.570221",220000.0,USD,3335728.0,220000.0,180.0,140.0,1222.2222222222222,1571.428571428571,,5.0,,http://ramos-mejia.properati.com.ar/oi7k_venta_casa_ramos-mejia
sell,store,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|Manuel Alberti|,"-34.436194,-58.780833",90000.0,USD,1364616.0,90000.0,,20.0,,4500.0,1.0,,,http://manuel-alberti.properati.com.ar/11bsu_venta_local_pilar_sum_garage_re-max-premium
sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5832754,-58.4260268",1200000.0,USD,18194880.0,1200000.0,200.0,,6000.0,,,,,http://palermo.properati.com.ar/zkv3_venta_departamentos_palermo_balcon_suite_gimnasio_hidromasaje_lavadero_parrilla_piscina_quincho_toilette_vestidor_vista_sauna_dependencias_garage_amenities_placard_losa-radiante_novosad-vanina-inmobiliaria
sell,apartment,|Argentina|Capital Federal|Once|,"-34.6060331,-58.398382",124000.0,USD,1880137.6,124000.0,85.0,77.0,1458.8235294117646,1610.3896103896104,,3.0,,http://once.properati.com.ar/rsx5_venta_departamentos_once
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Villa Luzuriaga|,"-34.651373,-58.583586",68000.0,USD,1031043.2,68000.0,,38.0,,1789.4736842105262,,2.0,,http://villa-luzuriaga.properati.com.ar/116oj_venta_departamentos_la-matanza_balcon_luminoso_garage_placard_re-max-oeste
